parler de l'education sovietique,https://quizlet.com/452019052/match/embed?i=1k5480&x=1jj1,precis
parler de la meteo et localisation,https://quizlet.com/359419817/match/embed?i=1k5480&x=1jj1 ,"
general"
apprendre les jours de la semaine en russe,https://quizlet.com/343288871/match/embed?i=1k5480&x=1jj1,general
parler de l'ecole en russe,https://quizlet.com/342857045/match/embed?i=1k5480&x=1jj1,"
precis"
apprendre les pronoms interrogatifs en russe,https://quizlet.com/342857780/match/embed?i=1k5480&x=1jj1,general
verbes utiles en russe,https://quizlet.com/326107954/match/embed?i=1k5480&x=1jj1 ,general
apprendre les nombres en russe,https://quizlet.com/321455608/match/embed?i=1k5480&x=1jj1,general
quelques expressions utiles en russe,https://quizlet.com/321451193/match/embed?i=1k5480&x=1jj1,general
decrire une ville en russe(1),https://quizlet.com/321238795/match/embed?i=1k5480&x=1jj1,precis
vocabulaire pour enrichir ses phrases,https://quizlet.com/348784850/match/embed?i=1k5480&x=1jj1,general
adjectifs utiles en russe  ,https://quizlet.com/367969578/match/embed?i=1k5480&x=1jj1,general
parler de sa famille en russe,https://quizlet.com/380514927/match/embed?i=1k5480&x=1jj1,general
parler de nourriture en russe,https://quizlet.com/393205725/match/embed?i=1k5480&x=1jj1,general
parler de l'espace russe,https://quizlet.com/423349388/match/embed?i=1k5480&x=1jj1,precis
parler des peuples de Russie,https://quizlet.com/433241125/match/embed?i=1k5480&x=1jj1,precis
parler de sa maison en russe,https://quizlet.com/382145285/match/embed?i=1k5480&x=1jj1,general
debattre sur l'uniforme en russe,https://quizlet.com/472305967/match/embed?i=1k5480&x=1jj1,precis
decrire une ville en russe(2),https://quizlet.com/474841002/match/embed?i=1k5480&x=1jj1,general
parler du monde communiste en russe,https://quizlet.com/522894325/match/embed?i=1k5480&x=1jj1,precis
parler de la seconde guerre mondiale en russe,https://quizlet.com/535813448/match/embed?i=1k5480&x=1jj1,precis
parler de la conquete spatiale russe,https://quizlet.com/558511461/match/embed?i=1k5480&x=1jj1,precis
parler de l'art et du pouvoir en russe,https://quizlet.com/562517524/match/embed?i=1k5480&x=1jj1,precis
decrire Moscou en russe,https://quizlet.com/579093707/match/embed?i=1k5480&x=1jj1,precis
